format,target,bits,seeds,final_acc,final_acc_min,final_acc_max,best_acc,best_epoch,final_loss,min_loss,ep_to_90,ep_to_90_n,ep_to_95,ep_to_95_n,ep_to_98,ep_to_98_n,kl,disagree,logit_rel_err,logit_rel_err_c,upd_survive
bfp16,weight,2,3,0.8856,0.8786,0.8906,0.8874,5,0.4191,0.4191,,0,,0,,0,0.392529,0.1148,0.860197,0.797614,0.001495
bfp16,weight,3,3,0.957,0.953,0.9586,0.957,12,0.1525,0.1525,1,3,4,3,,0,0.122627,0.0404,1.817592,0.631013,0.00391
bfp16,weight,4,3,0.9776,0.9762,0.979,0.9776,12,0.0807,0.0807,1,3,1,3,,0,0.046892,0.019,5.327455,0.443759,0.015912
bfp16,weight,5,3,0.9844,0.9818,0.9846,0.9846,12,0.0573,0.0569,1,3,1,3,7,3,0.021106,0.0116,6.629508,0.295626,0.047435
bfp16,weight,7,3,0.9868,0.9856,0.989,0.987,10,0.0481,0.0465,1,3,1,3,4,3,0.002769,0.0036,2.657992,0.123359,0.168005
bfp16,weight,10,3,0.987,0.9862,0.99,0.988,10,0.0471,0.0466,1,3,1,3,3,3,0.000255,0.0008,0.341738,0.02334,0.436015
bfp16,weight,23,3,0.9874,0.9868,0.9902,0.988,10,0.0462,0.0462,1,3,1,3,3,3,9.3e-05,0.001,0.015607,0.015561,1.0
bfp16,weight_master,1,3,0.9868,0.9864,0.987,0.9884,9,0.0487,0.0466,1,3,1,3,4,3,0.011569,0.009,0.182579,0.180109,0.009666
bfp16,weight_master,2,3,0.9862,0.9856,0.9894,0.9878,7,0.0454,0.0454,1,3,1,3,3,3,0.005941,0.0058,0.092611,0.090558,0.015226
bfp16,weight_master,3,3,0.9876,0.9852,0.9896,0.9882,12,0.0478,0.0439,1,3,1,3,2,3,0.002407,0.0036,0.071384,0.070649,0.026759
bfp16,weight_master,4,3,0.9872,0.986,0.9898,0.988,10,0.0461,0.0451,1,3,1,3,3,3,0.000591,0.0026,0.03567,0.035466,0.047874
bfp16,weight_master,5,3,0.9868,0.9866,0.9902,0.9882,10,0.0467,0.0462,1,3,1,3,3,3,0.000397,0.0016,0.029328,0.029238,0.084757
bfp16,weight_master,7,3,0.9864,0.9864,0.9904,0.9884,10,0.0472,0.0459,1,3,1,3,3,3,0.000136,0.0004,0.017198,0.017174,0.208715
bfp16,weight_master,10,3,0.987,0.9868,0.9906,0.9888,10,0.0469,0.0459,1,3,1,3,3,3,0.00021,0.0014,0.017412,0.017363,0.460741
bfp16,weight_master,23,3,0.9874,0.987,0.9906,0.9884,10,0.047,0.0461,1,3,1,3,3,3,0.000129,0.0014,0.015769,0.015744,1.0
elementwise,act_weight,1,3,0.9234,0.9216,0.9276,0.9234,12,0.3115,0.3106,4,3,,0,,0,0.283198,0.0754,0.788583,0.787008,0.071654
elementwise,act_weight,2,3,0.9602,0.9558,0.9632,0.9602,12,0.1734,0.1648,1,3,4,3,,0,0.144424,0.0372,1.257225,0.708851,0.064645
elementwise,act_weight,3,3,0.976,0.9758,0.978,0.9766,8,0.0894,0.0889,1,3,1,3,,0,0.057284,0.021,2.662159,0.54408,0.089642
elementwise,act_weight,4,3,0.984,0.9834,0.9856,0.9856,12,0.0594,0.0569,1,3,1,3,7,3,0.025452,0.012,3.799855,0.366514,0.129574
elementwise,act_weight,5,3,0.9864,0.9858,0.9876,0.9864,9,0.0493,0.0493,1,3,1,3,4,3,0.010067,0.0072,3.130315,0.24496,0.182362
elementwise,act_weight,7,3,0.9866,0.986,0.9898,0.9888,10,0.0467,0.0455,1,3,1,3,3,3,0.001242,0.003,1.164047,0.079579,0.33163
elementwise,act_weight,10,3,0.987,0.9868,0.9902,0.9886,10,0.0474,0.046,1,3,1,3,3,3,0.000141,0.0012,0.124679,0.018049,0.572705
elementwise,act_weight,23,3,0.9872,0.987,0.9902,0.9884,10,0.047,0.0463,1,3,1,3,3,3,0.000105,0.0014,0.014608,0.014549,1.0
elementwise,activation,1,3,0.9856,0.9852,0.9874,0.9882,9,0.0514,0.0462,1,3,1,3,4,3,0.00599,0.006,0.12809,0.127671,1.0
elementwise,activation,2,3,0.9874,0.986,0.9906,0.9884,10,0.0477,0.0463,1,3,1,3,3,3,0.002742,0.0032,0.070765,0.070537,1.0
elementwise,activation,3,3,0.987,0.9862,0.9896,0.9878,10,0.0473,0.0468,1,3,1,3,3,3,0.000858,0.0024,0.046293,0.04621,1.0
elementwise,activation,4,3,0.987,0.9868,0.9898,0.9884,10,0.0468,0.0459,1,3,1,3,3,3,0.000314,0.0014,0.027566,0.027496,1.0
elementwise,activation,5,3,0.9878,0.9868,0.9908,0.9884,10,0.0461,0.0461,1,3,1,3,3,3,0.00021,0.001,0.022401,0.022346,1.0
elementwise,activation,7,3,0.9878,0.9864,0.9904,0.9882,10,0.0465,0.046,1,3,1,3,3,3,0.00014,0.0008,0.017566,0.017528,1.0
elementwise,activation,10,3,0.9868,0.9866,0.9902,0.9882,10,0.0472,0.046,1,3,1,3,3,3,0.000128,0.0012,0.015588,0.015563,1.0
elementwise,activation,23,3,0.9872,0.9868,0.9904,0.9888,10,0.0468,0.0461,1,3,1,3,3,3,0.000132,0.0016,0.014749,0.014727,1.0
elementwise,both,1,3,0.9302,0.9198,0.9326,0.9302,11,0.323,0.2959,2,3,,0,,0,0.293673,0.0686,0.805491,0.78954,0.067553
elementwise,both,2,3,0.9612,0.9602,0.9654,0.9618,12,0.151,0.151,1,3,3,3,,0,0.121165,0.0362,1.320776,0.676489,0.06448
elementwise,both,3,3,0.9772,0.9758,0.9776,0.9772,12,0.0879,0.0879,1,3,1,3,,0,0.057253,0.021,2.786739,0.541863,0.088323
elementwise,both,4,3,0.9838,0.9814,0.9838,0.9838,10,0.0601,0.0585,1,3,1,3,7,3,0.026875,0.0142,3.725728,0.368865,0.131172
elementwise,both,5,3,0.9862,0.9848,0.9878,0.988,10,0.0486,0.0484,1,3,1,3,5,3,0.010836,0.007,3.119507,0.243072,0.18202
elementwise,both,7,3,0.9856,0.9854,0.9898,0.9874,10,0.047,0.0466,1,3,1,3,3,3,0.001309,0.0024,1.157959,0.079482,0.335014
elementwise,both,10,3,0.9874,0.987,0.99,0.9884,12,0.0469,0.0463,1,3,1,3,3,3,0.000228,0.0008,0.124517,0.021824,0.570831
elementwise,both,23,3,0.9866,0.9866,0.9902,0.9886,10,0.0472,0.0459,1,3,1,3,3,3,7.5e-05,0.0012,0.013414,0.013368,1.0
elementwise,input,1,3,0.9856,0.9854,0.9902,0.9884,10,0.0498,0.0459,1,3,1,3,3,3,0.002042,0.003,0.062754,0.062666,1.0
elementwise,input,2,3,0.9874,0.9858,0.9906,0.9884,12,0.0469,0.045,1,3,1,3,3,3,0.001695,0.0036,0.055095,0.054987,1.0
elementwise,input,3,3,0.9876,0.986,0.99,0.9882,12,0.0459,0.0459,1,3,1,3,3,3,0.000303,0.0012,0.026666,0.026624,1.0
elementwise,input,4,3,0.9878,0.9872,0.99,0.988,12,0.0463,0.0463,1,3,1,3,3,3,0.000332,0.0016,0.023262,0.023223,1.0
elementwise,input,5,3,0.987,0.9866,0.9904,0.9886,10,0.0474,0.0456,1,3,1,3,3,3,0.00025,0.001,0.024748,0.024584,1.0
elementwise,input,7,3,0.9872,0.987,0.9902,0.9884,10,0.0468,0.0461,1,3,1,3,3,3,0.000212,0.0014,0.01964,0.019611,1.0
elementwise,input,10,3,0.987,0.9866,0.9904,0.9884,10,0.0469,0.0462,1,3,1,3,3,3,9.3e-05,0.0008,0.013126,0.013107,1.0
elementwise,input,23,3,0.9866,0.9864,0.9904,0.9882,10,0.0468,0.0459,1,3,1,3,3,3,8.8e-05,0.0006,0.015414,0.015395,1.0
elementwise,weight,1,3,0.925,0.9172,0.926,0.925,10,0.3358,0.3055,2,3,,0,,0,0.311018,0.0752,0.807478,0.796666,0.073394
elementwise,weight,2,3,0.9614,0.9592,0.962,0.962,12,0.1639,0.1625,1,3,3,3,,0,0.135581,0.0372,1.291897,0.701872,0.063425
elementwise,weight,3,3,0.9764,0.9748,0.977,0.977,12,0.0892,0.0878,1,3,1,3,,0,0.060581,0.0218,2.583274,0.563963,0.088885
elementwise,weight,4,3,0.9844,0.9788,0.9844,0.9844,11,0.0619,0.058,1,3,1,3,7,3,0.026023,0.013,3.73271,0.367043,0.131123
elementwise,weight,5,3,0.9866,0.9862,0.9876,0.9876,10,0.049,0.0473,1,3,1,3,4,3,0.010994,0.0064,3.12689,0.241221,0.183044
elementwise,weight,7,3,0.9872,0.9858,0.9896,0.988,10,0.0464,0.0462,1,3,1,3,3,3,0.001343,0.003,1.167292,0.080115,0.333582
elementwise,weight,10,3,0.9872,0.9866,0.9904,0.9886,10,0.0477,0.0461,1,3,1,3,3,3,0.000151,0.0008,0.125987,0.017878,0.571738
elementwise,weight,23,3,0.987,0.9864,0.9904,0.9886,10,0.0473,0.046,1,3,1,3,3,3,9.5e-05,0.001,0.015795,0.015733,1.0
elementwise,weight_master,1,3,0.9872,0.9844,0.9894,0.9872,9,0.0505,0.0482,1,3,1,3,2,3,0.004579,0.0038,0.098601,0.097175,0.03462
elementwise,weight_master,2,3,0.9872,0.9862,0.99,0.988,10,0.0496,0.0463,1,3,1,3,3,3,0.001463,0.0014,0.059658,0.059244,0.056585
elementwise,weight_master,3,3,0.9866,0.9862,0.9902,0.9884,8,0.0479,0.0453,1,3,1,3,3,3,0.000933,0.003,0.040058,0.039818,0.091391
elementwise,weight_master,4,3,0.9864,0.9864,0.9902,0.9886,10,0.0477,0.0458,1,3,1,3,3,3,0.000519,0.0022,0.031078,0.030967,0.138412
elementwise,weight_master,5,3,0.987,0.987,0.9904,0.9892,10,0.047,0.0453,1,3,1,3,3,3,0.000277,0.0012,0.026283,0.026229,0.202046
elementwise,weight_master,7,3,0.9868,0.9866,0.99,0.9886,10,0.0472,0.0458,1,3,1,3,3,3,0.000171,0.0008,0.01846,0.018438,0.358831
elementwise,weight_master,10,3,0.9874,0.9866,0.9904,0.9886,10,0.0467,0.046,1,3,1,3,3,3,0.000102,0.001,0.013861,0.013839,0.58613
elementwise,weight_master,23,3,0.987,0.9866,0.9906,0.9886,10,0.0464,0.0461,1,3,1,3,3,3,6.5e-05,0.001,0.011344,0.011323,1.0
