format,block,bits,target,seed,loss,baseline,ratio,predict_zero,r2,grad_survive
elementwise,1,1,weight,0,8.540661811828613,0.013663075864315033,625.0907113920779,8.965968132019043,0.04743562702075488,1.0
elementwise,1,1,weight,1,11.3727445602417,0.010934211313724518,1040.1065274791918,12.691564559936523,0.10391311437345907,1.0
elementwise,1,1,weight,2,22.9537353515625,0.017455827444791794,1314.9611740926719,25.280773162841797,0.09204773114691067,1.0
elementwise,1,1,weight,3,15.420987129211426,0.012325681746006012,1251.1265053722818,16.42084312438965,0.06088944322798817,1.0
elementwise,1,1,weight,4,11.689924240112305,0.02263081818819046,516.5488999515055,13.080814361572266,0.10633054510321638,1.0
elementwise,1,1,weight,5,8.85538387298584,0.013845410197973251,639.5898529811799,10.768573760986328,0.17766418566326958,1.0
elementwise,1,1,weight,6,17.8303165435791,0.0095467958599329,1867.6754803579117,19.657512664794922,0.09295154236314884,1.0
elementwise,1,1,weight,7,5.3939337730407715,0.012847610749304295,419.8394455041266,6.36583137512207,0.1526741041051628,1.0
elementwise,1,1,weight,8,9.519664764404297,0.01875096559524536,507.68930890781303,10.376636505126953,0.08258665901029094,1.0
elementwise,1,1,weight,9,5.2337141036987305,0.009464801289141178,552.9660838947872,6.451923370361328,0.188813350180006,1.0
elementwise,1,2,weight,0,8.120306015014648,0.013663075864315033,594.3248866986908,8.965968132019043,0.09431910804862076,1.0
elementwise,1,2,weight,1,9.911931991577148,0.010934211313724518,906.5063503149776,12.691564559936523,0.21901417711208315,1.0
elementwise,1,2,weight,2,17.565013885498047,0.017455827444791794,1006.255013751229,25.280773162841797,0.30520266242033023,1.0
elementwise,1,2,weight,3,12.314815521240234,0.012325681746006012,999.1184078098318,16.42084312438965,0.25004974300319505,1.0
elementwise,1,2,weight,4,10.152338027954102,0.02263081818819046,448.6067601944653,13.080814361572266,0.22387568943881653,1.0
elementwise,1,2,weight,5,7.521313190460205,0.013845410197973251,543.2351286754368,10.768573760986328,0.30154973561036336,1.0
elementwise,1,2,weight,6,15.465391159057617,0.0095467958599329,1619.9562016366733,19.657512664794922,0.213257983205834,1.0
elementwise,1,2,weight,7,4.934536457061768,0.012847610749304295,384.08203309934305,6.36583137512207,0.22484021861682701,1.0
elementwise,1,2,weight,8,9.007722854614258,0.01875096559524536,480.3871464037204,10.376636505126953,0.13192267550630055,1.0
elementwise,1,2,weight,9,4.7877278327941895,0.009464801289141178,505.8455731434189,6.451923370361328,0.25793789573076387,1.0
elementwise,1,3,weight,0,5.501491546630859,0.013663075864315033,402.65395590750927,8.965968132019043,0.38640295552868753,1.0
elementwise,1,3,weight,1,4.896225929260254,0.010934211313724518,447.78958342560634,12.691564559936523,0.6142141572744959,1.0
elementwise,1,3,weight,2,3.7788259983062744,0.017455827444791794,216.47933965076766,25.280773162841797,0.8505256950028541,1.0
elementwise,1,3,weight,3,3.3946847915649414,0.012325681746006012,275.4155803726595,16.42084312438965,0.7932697629561503,1.0
elementwise,1,3,weight,4,6.366079807281494,0.02263081818819046,281.30135438954363,13.080814361572266,0.5133269511122154,1.0
elementwise,1,3,weight,5,4.463212490081787,0.013845410197973251,322.3604375936172,10.768573760986328,0.5855335544757426,1.0
elementwise,1,3,weight,6,3.8273847103118896,0.0095467958599329,400.9077774853343,19.657512664794922,0.8052965919148847,1.0
elementwise,1,3,weight,7,3.5919923782348633,0.012847610749304295,279.5844650282055,6.36583137512207,0.43573868571628893,1.0
elementwise,1,3,weight,8,4.800844669342041,0.01875096559524536,256.03186379689055,10.376636505126953,0.5373409614020873,1.0
elementwise,1,3,weight,9,3.2682247161865234,0.009464801289141178,345.30304613326723,6.451923370361328,0.4934495454177267,1.0
elementwise,1,4,weight,0,1.26044762134552,0.013663075864315033,92.25211320369915,8.965968132019043,0.8594186815315302,1.0
elementwise,1,4,weight,1,0.8400610089302063,0.010934211313724518,76.82867879787267,12.691564559936523,0.9338094996118896,1.0
elementwise,1,4,weight,2,0.0593293234705925,0.017455827444791794,3.398826189032608,25.280773162841797,0.9976531839794442,1.0
elementwise,1,4,weight,3,0.3320193290710449,0.012325681746006012,26.937197950825865,16.42084312438965,0.9797806162231767,1.0
elementwise,1,4,weight,4,0.6371133327484131,0.02263081818819046,28.152465697456787,13.080814361572266,0.9512940620409635,1.0
elementwise,1,4,weight,5,0.6271644234657288,0.013845410197973251,45.29764120369187,10.768573760986328,0.9417597504195129,1.0
elementwise,1,4,weight,6,0.1658400297164917,0.0095467958599329,17.371276410393186,19.657512664794922,0.9915635292956724,1.0
elementwise,1,4,weight,7,1.4305074214935303,0.012847610749304295,111.34423741558274,6.36583137512207,0.7752834881734361,1.0
elementwise,1,4,weight,8,1.0370872020721436,0.01875096559524536,55.30846914545645,10.376636505126953,0.900055552532872,1.0
elementwise,1,4,weight,9,0.8372050523757935,0.009464801289141178,88.45458312329346,6.451923370361328,0.8702394612710802,1.0
elementwise,1,5,weight,0,0.06500115245580673,0.013663075864315033,4.757431862438496,8.965968132019043,0.9927502360594305,1.0
