format,block,target,act_at,bits,seed,epoch,train_loss,train_acc,val_loss,val_acc,kl,disagree,logit_rel_err,logit_rel_err_c,upd_survive
elementwise,1,input,producer,1,0,1,0.24011457741477274,0.9275636363636364,0.0928841307759285,0.9731999635696411,0.05514344200491905,0.023799998685717583,0.46625611186027527,0.46616971492767334,1.0
elementwise,1,input,producer,1,0,2,0.07815045276988636,0.9760181818181818,0.07181031256914139,0.9783999919891357,0.043498579412698746,0.01979999989271164,0.382693350315094,0.38265377283096313,1.0
elementwise,1,input,producer,1,0,3,0.060033251953125,0.9810181818181818,0.06620950251817703,0.9813999533653259,0.026596389710903168,0.012999999336898327,0.3247211277484894,0.32468196749687195,1.0
elementwise,1,input,producer,1,0,4,0.04934695490056818,0.9846545454545454,0.062120042741298676,0.9813999533653259,0.022425485774874687,0.013799999840557575,0.3059161603450775,0.30589091777801514,1.0
elementwise,1,input,producer,1,0,5,0.044090478515625,0.9859818181818182,0.06163017079234123,0.9837999939918518,0.026890290901064873,0.012199999764561653,0.29371291399002075,0.29369646310806274,1.0
elementwise,1,input,producer,1,0,6,0.038184885475852276,0.9877818181818182,0.05413585156202316,0.9865999817848206,0.01814952865242958,0.008999999612569809,0.287067711353302,0.2870394289493561,1.0
elementwise,1,input,producer,1,0,7,0.03436805087002841,0.9895272727272727,0.05372537299990654,0.9861999750137329,0.017071956768631935,0.009599999524652958,0.21155628561973572,0.21150605380535126,1.0
elementwise,1,input,producer,1,0,8,0.030649931196732955,0.9906181818181818,0.04826946556568146,0.9863999485969543,0.01225204300135374,0.007199999876320362,0.21211792528629303,0.21203336119651794,1.0
elementwise,1,input,producer,1,0,9,0.0284375244140625,0.9911272727272727,0.05564368888735771,0.9863999485969543,0.01764102093875408,0.009599999524652958,0.20126251876354218,0.20117567479610443,1.0
elementwise,1,input,producer,1,0,10,0.025689093572443183,0.9921090909090909,0.07357946783304214,0.9797999858856201,0.042921438813209534,0.016599999740719795,0.21441349387168884,0.21430303156375885,1.0
