format,block,target,act_at,bits,seed,epoch,train_loss,train_acc,val_loss,val_acc,kl,disagree,logit_rel_err,logit_rel_err_c,upd_survive,grad_survive,grad_cos,epochs_to_90,epochs_to_95,epochs_to_98
elementwise,1,grad,producer,1,0,1,0.243636328125,0.9261090909090909,0.09198565036058426,0.9731999635696411,0.05599069595336914,0.02459999918937683,0.4795490503311157,0.4792662560939789,1.0,1.0,0.9946327386900436,0.2,0.4,2.4
elementwise,1,grad,producer,1,0,2,0.07892075639204546,0.9752909090909091,0.07339256256818771,0.9793999791145325,0.045205313712358475,0.01899999938905239,0.3957170248031616,0.3952042758464813,1.0,1.0,0.994640261627907,0.2,0.4,2.4
elementwise,1,grad,producer,1,0,3,0.06032058771306818,0.9810909090909091,0.06722281128168106,0.9815999865531921,0.029123786836862564,0.013399999588727951,0.3329520523548126,0.3322811424732208,1.0,1.0,0.9946206736010175,0.2,0.4,2.4
elementwise,1,grad,producer,1,0,4,0.04977939009232955,0.9849272727272728,0.05751791223883629,0.9835999608039856,0.02059199847280979,0.012399999424815178,0.3112718462944031,0.3108985722064972,1.0,1.0,0.994642887559048,0.2,0.4,2.4
elementwise,1,grad,producer,1,0,5,0.044792458274147726,0.9860545454545454,0.058583445847034454,0.9835999608039856,0.02420853264629841,0.012199999764561653,0.28876662254333496,0.28833600878715515,1.0,1.0,0.9946343000545058,0.2,0.4,2.4
elementwise,1,grad,producer,1,0,6,0.03847034357244318,0.9877090909090909,0.051448095589876175,0.9878000020980835,0.0170144010335207,0.007400000002235174,0.27251461148262024,0.27210888266563416,1.0,1.0,0.9946389131767805,0.2,0.4,2.4
elementwise,1,grad,producer,1,0,7,0.03488514515269887,0.9893454545454545,0.05075620859861374,0.9865999817848206,0.014912414364516735,0.00839999970048666,0.21853309869766235,0.21771878004074097,1.0,1.0,0.9946305385855742,0.2,0.4,2.4
elementwise,1,grad,producer,1,0,8,0.031201589133522726,0.9901454545454546,0.04713672772049904,0.986799955368042,0.011553131975233555,0.00559999980032444,0.2168857902288437,0.21619658172130585,1.0,1.0,0.9946465070857559,0.2,0.4,2.4
elementwise,1,grad,producer,1,0,9,0.0286437744140625,0.9912727272727273,0.05498185381293297,0.9860000014305115,0.015368975698947906,0.009599999524652958,0.17647221684455872,0.17555533349514008,1.0,1.0,0.9946239382721657,0.2,0.4,2.4
elementwise,1,grad,producer,1,0,10,0.02614344149502841,0.9917636363636364,0.06872938573360443,0.9807999730110168,0.03765251860022545,0.0142000000923872,0.20634004473686218,0.20538854598999023,1.0,1.0,0.9946406874545785,0.2,0.4,2.4
